# Kegerreis et al (2024) Table 3 plain text
# ID_in  phi(deg)  i(deg)  o(deg)  nu(deg)  M_rem(1e19kg)  M_esc(1e19kg)  M_bump(1e19kg)  M_orb(1e19kg)  M_coll(1e19kg)
6  0  15  30  -  4.06  0.00  0.71  0.00  0.14
6  15  15  30  -  4.06  0.00  0.63  0.00  0.39
6  30  15  30  -  3.67  0.39  0.17  0.00  1.03
6  45  15  30  -  3.67  0.39  0.15  0.00  1.69
6  60  15  30  -  3.67  0.39  0.17  0.00  1.72
6  75  15  30  -  2.88  0.39  0.00  0.79  2.55
6  90  15  30  -  2.31  0.39  0.32  1.36  2.73
6  105  15  30  -  2.64  0.39  0.02  1.03  2.70
6  120  15  30  -  3.48  0.39  0.29  0.19  1.52
6  135  15  30  -  3.49  0.39  0.28  0.18  1.25
6  150  15  30  -  3.67  0.39  0.01  0.00  1.96
6  165  15  30  -  4.06  0.00  0.01  0.00  0.78
6  180  15  30  -  4.06  0.00  0.18  0.00  1.13
6  195  15  30  -  4.06  0.00  0.81  0.00  0.01
6  210  15  30  -  3.74  0.00  0.36  0.32  1.09
6  225  15  30  -  3.67  0.39  0.23  0.00  1.18
6  240  15  30  -  3.67  0.39  0.37  0.00  1.43
6  255  15  30  -  3.15  0.39  0.00  0.52  3.28
6  270  15  30  -  2.67  0.39  0.01  1.00  2.47
6  285  15  30  -  2.84  0.39  0.48  0.83  2.79
6  300  15  30  -  3.66  0.39  0.72  0.01  1.88
6  315  15  30  -  3.67  0.39  0.84  0.00  0.50
6  330  15  30  -  3.67  0.39  0.68  0.00  0.39
6  345  15  30  -  4.06  0.00  0.84  0.00  0.93
6  0  0  30  -  4.06  0.00  0.15  0.00  0.54
6  0  5  30  -  4.06  0.00  0.55  0.00  0.32
6  0  30  30  -  4.06  0.00  0.87  0.00  0.63
6  0  45  30  -  4.06  0.00  0.73  0.01  0.01
6  0  60  30  -  4.06  0.00  0.18  0.00  1.28
6  0  75  30  -  4.06  0.00  0.00  0.00  2.50
6  0  90  30  -  4.06  0.00  0.70  0.00  2.15
6  30  0  30  -  4.06  0.01  0.77  0.00  0.60
6  30  5  30  -  4.06  0.01  0.40  0.00  0.64
6  30  30  30  -  4.06  0.00  0.72  0.00  0.56
6  30  45  30  -  4.06  0.00  1.08  0.00  0.32
6  30  60  30  -  4.06  0.00  0.64  0.00  0.18
6  30  75  30  -  4.06  0.00  0.22  0.00  0.46
6  30  90  30  -  4.06  0.00  0.58  0.00  1.54
